NOC,Year,Count
AFG,2008,1
AFG,2012,1
AHO,1988,1
ALG,1984,2
ALG,1992,2
ALG,1996,3
ALG,2000,5
ALG,2008,2
ALG,2012,1
ALG,2016,2
ANZ,1908,19
ANZ,1912,10
ARG,1924,10
ARG,1928,26
ARG,1932,4
ARG,1936,11
ARG,1948,11
ARG,1952,6
ARG,1956,2
ARG,1960,4
ARG,1964,1
ARG,1968,2
ARG,1972,1
ARG,1988,13
ARG,1992,2
ARG,1996,20
ARG,2000,20
ARG,2004,49
ARG,2008,51
ARG,2012,19
ARG,2016,22
ARM,1996,2
ARM,2000,1
ARM,2008,6
ARM,2012,3
ARM,2016,4
AUS,1896,3
AUS,1900,6
AUS,1904,4
AUS,1906,3
AUS,1920,7
AUS,1924,11
AUS,1928,4
AUS,1932,5
AUS,1936,1
AUS,1948,16
AUS,1952,20
AUS,1956,67
AUS,1960,46
AUS,1964,44
AUS,1968,51
AUS,1972,20
AUS,1976,23
AUS,1980,13
AUS,1984,52
AUS,1988,35
AUS,1992,57
AUS,1994,4
AUS,1996,132
AUS,1998,1
AUS,2000,183
AUS,2002,2
AUS,2004,157
AUS,2006,2
AUS,2008,149
AUS,2010,3
AUS,2012,114
AUS,2014,3
AUS,2016,82
AUT,1896,5
AUT,1900,6
AUT,1904,4
AUT,1906,9
AUT,1908,1
AUT,1912,14
AUT,1924,8
AUT,1928,11
AUT,1932,7
AUT,1936,60
AUT,1948,16
AUT,1952,11
AUT,1956,16
AUT,1960,9
AUT,1964,17
AUT,1968,20
AUT,1972,8
AUT,1976,8
AUT,1980,13
AUT,1984,4
AUT,1988,13
AUT,1992,35
AUT,1994,12
AUT,1996,3
AUT,1998,20
AUT,2000,4
AUT,2002,20
AUT,2004,8
AUT,2006,30
AUT,2008,3
AUT,2010,26
AUT,2014,27
AUT,2016,2
AZE,1996,1
AZE,2000,3
AZE,2004,5
AZE,2008,7
AZE,2012,10
AZE,2016,18
BAH,1956,2
BAH,1964,2
BAH,1992,1
BAH,1996,5
BAH,2000,11
BAH,2004,2
BAH,2008,7
BAH,2012,4
BAH,2016,6
BAR,2000,1
BDI,1996,1
BDI,2016,1
BEL,1900,43
BEL,1906,11
BEL,1908,33
BEL,1912,19
BEL,1920,188
BEL,1924,44
BEL,1928,6
BEL,1932,1
BEL,1936,14
BEL,1948,21
BEL,1952,8
BEL,1956,2
BEL,1960,4
BEL,1964,3
BEL,1968,3
BEL,1972,2
BEL,1976,9
BEL,1980,1
BEL,1984,5
BEL,1988,2
BEL,1992,3
BEL,1996,6
BEL,1998,1
BEL,2000,7
BEL,2004,3
BEL,2008,5
BEL,2012,3
BEL,2016,21
BER,1976,1
BLR,1994,2
BLR,1996,23
BLR,1998,2
BLR,2000,22
BLR,2002,1
BLR,2004,15
BLR,2006,1
BLR,2008,29
BLR,2010,3
BLR,2012,23
BLR,2014,6
BLR,2016,12
BOH,1900,3
BOH,1906,3
BOH,1908,6
BOT,2012,1
BRA,1920,7
BRA,1948,10
BRA,1952,3
BRA,1956,1
BRA,1960,13
BRA,1964,12
BRA,1968,4
BRA,1972,2
BRA,1976,3
BRA,1980,9
BRA,1984,36
BRA,1988,23
BRA,1992,14
BRA,1996,63
BRA,2000,48
BRA,2004,40
BRA,2008,78
BRA,2012,59
BRA,2016,50
BRN,2012,1
BRN,2016,2
BUL,1952,1
BUL,1956,18
BUL,1960,7
BUL,1964,10
BUL,1968,26
BUL,1972,22
BUL,1976,39
BUL,1980,91
BUL,1988,41
BUL,1992,17
BUL,1996,21
BUL,1998,1
BUL,2000,13
BUL,2002,3
BUL,2004,17
BUL,2006,1
BUL,2008,5
BUL,2012,2
BUL,2016,7
CAN,1900,2
CAN,1904,48
CAN,1906,2
CAN,1908,52
CAN,1912,8
CAN,1920,16
CAN,1924,29
CAN,1928,45
CAN,1932,59
CAN,1936,35
CAN,1948,22
CAN,1952,21
CAN,1956,39
CAN,1960,30
CAN,1964,12
CAN,1968,30
CAN,1972,12
CAN,1976,26
CAN,1980,2
CAN,1984,91
CAN,1988,29
CAN,1992,80
CAN,1994,37
CAN,1996,50
CAN,1998,49
CAN,2000,31
CAN,2002,74
CAN,2004,17
CAN,2006,69
CAN,2008,35
CAN,2010,90
CAN,2012,55
CAN,2014,86
CAN,2016,69
CHI,1928,1
CHI,1952,4
CHI,1956,4
CHI,1988,1
CHI,2000,17
CHI,2004,4
CHI,2008,1
CHN,1984,74
CHN,1988,52
CHN,1992,85
CHN,1994,3
CHN,1996,106
CHN,1998,14
CHN,2000,79
CHN,2002,16
CHN,2004,94
CHN,2006,13
CHN,2008,184
CHN,2010,19
CHN,2012,125
CHN,2014,12
CHN,2016,113
CIV,1984,1
CIV,2016,2
CMR,1968,1
CMR,1984,1
CMR,2000,18
CMR,2004,1
CMR,2008,1
COL,1900,1
COL,1972,3
COL,1984,1
COL,1988,1
COL,1992,1
COL,2000,1
COL,2004,2
COL,2008,2
COL,2012,8
COL,2016,8
CRC,1988,1
CRC,1996,1
CRC,2000,2
CRO,1992,15
CRO,1996,28
CRO,2000,10
CRO,2002,4
CRO,2004,21
CRO,2006,3
CRO,2008,5
CRO,2010,3
CRO,2012,35
CRO,2014,1
CRO,2016,24
CUB,1900,2
CUB,1904,5
CUB,1948,2
CUB,1964,1
CUB,1968,10
CUB,1972,22
CUB,1976,24
CUB,1980,20
CUB,1992,69
CUB,1996,55
CUB,2000,65
CUB,2004,62
CUB,2008,47
CUB,2012,14
CUB,2016,11
CYP,2012,1
CZE,1996,13
CZE,1998,23
CZE,2000,9
CZE,2002,3
CZE,2004,13
CZE,2006,27
CZE,2008,7
CZE,2010,9
CZE,2012,14
CZE,2014,11
CZE,2016,15
DEN,1896,6
DEN,1900,9
DEN,1906,34
DEN,1908,17
DEN,1912,87
DEN,1920,71
DEN,1924,14
DEN,1928,15
DEN,1932,11
DEN,1936,6
DEN,1948,51
DEN,1952,9
DEN,1956,6
DEN,1960,23
DEN,1964,12
DEN,1968,17
DEN,1972,1
DEN,1976,8
DEN,1980,8
DEN,1984,13
DEN,1988,7
DEN,1992,14
DEN,1996,23
DEN,1998,5
DEN,2000,25
DEN,2004,29
DEN,2008,19
DEN,2012,16
DEN,2016,41
DJI,1988,1
DOM,1984,1
DOM,2004,1
DOM,2008,2
DOM,2012,2
DOM,2016,1
ECU,1996,1
ECU,2008,1
EGY,1928,4
EGY,1936,5
EGY,1948,5
EGY,1952,1
EGY,1984,1
EGY,2004,5
EGY,2008,1
EGY,2012,2
EGY,2016,3
ERI,2004,1
ESP,1900,2
ESP,1920,23
ESP,1928,3
ESP,1932,1
ESP,1948,3
ESP,1952,1
ESP,1960,14
ESP,1972,2
ESP,1976,6
ESP,1980,24
ESP,1984,19
ESP,1988,5
ESP,1992,70
ESP,1996,66
ESP,2000,42
ESP,2004,30
ESP,2008,70
ESP,2012,63
ESP,2016,45
EST,1920,3
EST,1924,6
EST,1928,9
EST,1936,7
EST,1992,3
EST,2000,3
EST,2002,3
EST,2004,3
EST,2006,3
EST,2008,3
EST,2010,1
EST,2012,2
EST,2016,4
ETH,1960,1
ETH,1964,1
ETH,1968,2
ETH,1972,2
ETH,1980,4
ETH,1992,3
ETH,1996,3
ETH,2000,8
ETH,2004,7
ETH,2008,7
ETH,2012,7
ETH,2016,8
EUN,1992,279
FIJ,2016,13
FIN,1906,4
FIN,1908,30
FIN,1912,71
FIN,1920,52
FIN,1924,67
FIN,1928,29
FIN,1932,32
FIN,1936,36
FIN,1948,42
FIN,1952,52
FIN,1956,38
FIN,1960,19
FIN,1964,20
FIN,1968,12
FIN,1972,20
FIN,1976,22
FIN,1980,21
FIN,1984,31
FIN,1988,38
FIN,1992,20
FIN,1994,30
FIN,1996,4
FIN,1998,58
FIN,2000,5
FIN,2002,13
FIN,2004,2
FIN,2006,41
FIN,2008,5
FIN,2010,47
FIN,2012,5
FIN,2014,33
FIN,2016,1
FRA,1896,11
FRA,1900,235
FRA,1904,2
FRA,1906,64
FRA,1908,40
FRA,1912,26
FRA,1920,141
FRA,1924,120
FRA,1928,52
FRA,1932,42
FRA,1936,45
FRA,1948,77
FRA,1952,41
FRA,1956,33
FRA,1960,15
FRA,1964,38
FRA,1968,36
FRA,1972,25
FRA,1976,21
FRA,1980,30
FRA,1984,70
FRA,1988,31
FRA,1992,69
FRA,1994,11
FRA,1996,51
FRA,1998,15
FRA,2000,66
FRA,2002,15
FRA,2004,53
FRA,2006,15
FRA,2008,77
FRA,2010,14
FRA,2012,82
FRA,2014,18
FRA,2016,96
FRG,1968,61
FRG,1972,112
FRG,1976,110
FRG,1980,8
FRG,1984,166
FRG,1988,129
GAB,2012,1
GBR,1896,9
GBR,1900,108
GBR,1904,2
GBR,1906,39
GBR,1908,368
GBR,1912,170
GBR,1920,111
GBR,1924,95
GBR,1928,59
GBR,1932,35
GBR,1936,53
GBR,1948,63
GBR,1952,32
GBR,1956,46
GBR,1960,28
GBR,1964,30
GBR,1968,19
GBR,1972,29
GBR,1976,33
GBR,1980,48
GBR,1984,73
GBR,1988,54
GBR,1992,50
GBR,1994,3
GBR,1996,26
GBR,1998,4
GBR,2000,54
GBR,2002,6
GBR,2004,57
GBR,2006,1
GBR,2008,81
GBR,2010,1
GBR,2012,126
GBR,2014,10
GBR,2016,145
GDR,1968,58
GDR,1972,171
GDR,1976,227
GDR,1980,303
GDR,1984,33
GDR,1988,213
GEO,1996,2
GEO,2000,6
GEO,2004,4
GEO,2008,6
GEO,2012,7
GEO,2016,7
GER,1896,32
GER,1900,45
GER,1904,16
GER,1906,30
GER,1908,21
GER,1912,53
GER,1928,82
GER,1932,57
GER,1936,231
GER,1952,52
GER,1956,54
GER,1960,98
GER,1964,126
GER,1992,236
GER,1994,40
GER,1996,124
GER,1998,44
GER,2000,118
GER,2002,61
GER,2004,149
GER,2006,54
GER,2008,99
GER,2010,54
GER,2012,94
GER,2014,36
GER,2016,159
GHA,1960,1
GHA,1964,1
GHA,1972,1
GHA,1992,20
GRE,1896,48
GRE,1904,2
