,NOC,Year,Count
0,AFG,1936,16
1,AFG,1948,25
2,AFG,1956,12
3,AFG,1960,16
4,AFG,1964,8
5,AFG,1968,5
6,AFG,1972,8
7,AFG,1980,11
8,AFG,1988,5
9,AFG,1996,2
10,AFG,2004,5
11,AFG,2008,4
12,AFG,2012,6
13,AFG,2016,3
14,AHO,1952,11
15,AHO,1960,5
16,AHO,1964,4
17,AHO,1968,5
18,AHO,1972,2
19,AHO,1976,4
20,AHO,1984,13
21,AHO,1988,7
22,AHO,1992,6
23,AHO,1996,7
24,AHO,2000,8
25,AHO,2004,3
26,AHO,2008,4
27,ALB,1972,5
28,ALB,1992,9
29,ALB,1996,9
30,ALB,2000,5
31,ALB,2004,7
32,ALB,2006,3
33,ALB,2008,12
34,ALB,2010,2
35,ALB,2012,10
36,ALB,2014,2
37,ALB,2016,6
38,ALG,1964,7
39,ALG,1968,9
40,ALG,1972,7
41,ALG,1980,63
42,ALG,1984,33
43,ALG,1988,45
44,ALG,1992,44
45,ALG,1996,47
46,ALG,2000,51
47,ALG,2004,71
48,ALG,2006,3
49,ALG,2008,57
50,ALG,2010,1
51,ALG,2012,39
52,ALG,2016,74
53,AND,1976,14
54,AND,1980,11
55,AND,1984,8
56,AND,1988,13
57,AND,1992,22
58,AND,1994,13
59,AND,1996,8
60,AND,1998,7
61,AND,2000,5
62,AND,2002,5
63,AND,2004,6
64,AND,2006,10
65,AND,2008,5
66,AND,2010,20
67,AND,2012,6
68,AND,2014,12
69,AND,2016,4
70,ANG,1980,17
71,ANG,1988,33
72,ANG,1992,33
73,ANG,1996,30
74,ANG,2000,30
75,ANG,2004,30
76,ANG,2008,33
77,ANG,2012,35
78,ANG,2016,26
79,ANT,1976,17
80,ANT,1984,27
81,ANT,1988,25
82,ANT,1992,18
83,ANT,1996,19
84,ANT,2000,4
85,ANT,2004,5
86,ANT,2008,5
87,ANT,2012,4
88,ANT,2016,9
89,ANZ,1908,48
90,ANZ,1912,38
91,ARG,1900,1
92,ARG,1908,1
93,ARG,1920,1
94,ARG,1924,109
95,ARG,1928,108
96,ARG,1932,47
97,ARG,1936,68
98,ARG,1948,315
99,ARG,1952,195
100,ARG,1956,44
101,ARG,1960,130
102,ARG,1964,170
103,ARG,1968,144
104,ARG,1972,129
105,ARG,1976,122
106,ARG,1980,26
107,ARG,1984,152
108,ARG,1988,179
109,ARG,1992,157
110,ARG,1994,20
111,ARG,1996,221
112,ARG,1998,6
113,ARG,2000,165
114,ARG,2002,26
115,ARG,2004,179
116,ARG,2006,17
117,ARG,2008,145
118,ARG,2010,20
119,ARG,2012,148
120,ARG,2014,20
121,ARG,2016,232
122,ARM,1994,2
123,ARM,1996,38
124,ARM,1998,7
125,ARM,2000,26
126,ARM,2002,17
127,ARM,2004,19
128,ARM,2006,9
129,ARM,2008,26
130,ARM,2010,6
131,ARM,2012,31
132,ARM,2014,6
133,ARM,2016,34
134,ARU,1988,12
135,ARU,1992,5
136,ARU,1996,3
137,ARU,2000,5
138,ARU,2004,4
139,ARU,2008,2
140,ARU,2012,4
141,ARU,2016,7
142,ASA,1988,6
143,ASA,1992,3
144,ASA,1994,2
145,ASA,1996,7
146,ASA,2000,4
147,ASA,2004,3
148,ASA,2008,4
149,ASA,2012,4
150,ASA,2016,4
151,AUS,1896,5
152,AUS,1900,6
153,AUS,1904,6
154,AUS,1906,10
155,AUS,1920,29
156,AUS,1924,61
157,AUS,1928,29
158,AUS,1932,20
159,AUS,1936,42
160,AUS,1948,103
161,AUS,1952,159
162,AUS,1956,429
163,AUS,1960,318
164,AUS,1964,406
165,AUS,1968,231
166,AUS,1972,278
167,AUS,1976,293
168,AUS,1980,209
169,AUS,1984,357
170,AUS,1988,375
171,AUS,1992,431
172,AUS,1994,47
173,AUS,1996,550
174,AUS,1998,34
175,AUS,2000,788
176,AUS,2002,41
177,AUS,2004,601
178,AUS,2006,45
179,AUS,2008,570
180,AUS,2010,49
181,AUS,2012,514
182,AUS,2014,84
183,AUS,2016,518
184,AUT,1896,8
185,AUT,1900,26
186,AUT,1904,7
187,AUT,1906,100
188,AUT,1908,13
189,AUT,1912,132
190,AUT,1924,60
191,AUT,1928,162
192,AUT,1932,45
193,AUT,1936,435
194,AUT,1948,323
195,AUT,1952,312
196,AUT,1956,144
197,AUT,1960,240
198,AUT,1964,198
199,AUT,1968,171
200,AUT,1972,211
201,AUT,1976,189
202,AUT,1980,158
203,AUT,1984,235
204,AUT,1988,249
205,AUT,1992,248
206,AUT,1994,130
207,AUT,1996,92
208,AUT,1998,154
209,AUT,2000,114
210,AUT,2002,148
211,AUT,2004,92
212,AUT,2006,132
213,AUT,2008,93
214,AUT,2010,132
215,AUT,2012,90
216,AUT,2014,213
217,AUT,2016,85
218,AZE,1996,24
219,AZE,1998,4
220,AZE,2000,32
221,AZE,2002,4
222,AZE,2004,37
223,AZE,2006,2
224,AZE,2008,44
225,AZE,2010,4
226,AZE,2012,59
227,AZE,2014,4
228,AZE,2016,69
229,BAH,1952,7
230,BAH,1956,5
231,BAH,1960,14
232,BAH,1964,12
233,BAH,1968,22
234,BAH,1972,25
235,BAH,1976,19
236,BAH,1984,31
237,BAH,1988,18
238,BAH,1992,18
239,BAH,1996,36
240,BAH,2000,39
241,BAH,2004,28
242,BAH,2008,33
243,BAH,2012,29
244,BAH,2016,38
245,BAN,1984,2
