Event,Sport,Season,Year,0
Aeronautics Mixed Aeronautics,Aeronautics,Summer,1936,1
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1936,66
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1948,79
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1988,56
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1992,66
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1994,56
Alpine Skiing Men's Combined,Alpine Skiing,Winter,1998,38
Alpine Skiing Men's Combined,Alpine Skiing,Winter,2002,47
Alpine Skiing Men's Combined,Alpine Skiing,Winter,2006,59
Alpine Skiing Men's Combined,Alpine Skiing,Winter,2010,52
Alpine Skiing Men's Combined,Alpine Skiing,Winter,2014,50
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1948,111
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1952,82
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1956,75
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1960,63
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1964,84
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1968,86
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1972,55
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1976,74
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1980,47
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1984,61
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1988,51
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1992,55
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1994,55
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,1998,43
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,2002,54
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,2006,55
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,2010,64
Alpine Skiing Men's Downhill,Alpine Skiing,Winter,2014,49
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1952,83
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1956,95
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1960,65
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1964,96
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1968,101
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1972,73
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1976,97
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1980,78
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1984,108
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1988,117
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1992,131
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1994,61
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,1998,62
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,2002,78
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,2006,82
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,2010,101
Alpine Skiing Men's Giant Slalom,Alpine Skiing,Winter,2014,107
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1948,77
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1952,86
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1956,89
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1960,63
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1964,96
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1968,100
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1972,72
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1976,94
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1980,79
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1984,101
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1988,109
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1992,119
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1994,57
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,1998,65
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,2002,77
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,2006,93
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,2010,101
Alpine Skiing Men's Slalom,Alpine Skiing,Winter,2014,115
Alpine Skiing Men's Super G,Alpine Skiing,Winter,1988,94
Alpine Skiing Men's Super G,Alpine Skiing,Winter,1992,118
Alpine Skiing Men's Super G,Alpine Skiing,Winter,1994,69
Alpine Skiing Men's Super G,Alpine Skiing,Winter,1998,45
Alpine Skiing Men's Super G,Alpine Skiing,Winter,2002,55
Alpine Skiing Men's Super G,Alpine Skiing,Winter,2006,63
Alpine Skiing Men's Super G,Alpine Skiing,Winter,2010,63
Alpine Skiing Men's Super G,Alpine Skiing,Winter,2014,63
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1936,37
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1948,28
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1988,39
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1992,40
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1994,41
Alpine Skiing Women's Combined,Alpine Skiing,Winter,1998,29
Alpine Skiing Women's Combined,Alpine Skiing,Winter,2002,31
Alpine Skiing Women's Combined,Alpine Skiing,Winter,2006,43
