region,Sport,Season,Event,0
Afghanistan,Taekwondo,Summer,Taekwondo Men's Featherweight,1
Afghanistan,Taekwondo,Summer,Taekwondo Men's Flyweight,1
Algeria,Athletics,Summer,"Athletics Men's 1,500 metres",3
Algeria,Athletics,Summer,"Athletics Men's 5,000 metres",1
Algeria,Athletics,Summer,Athletics Men's 800 metres,2
Algeria,Athletics,Summer,Athletics Men's High Jump,1
Algeria,Athletics,Summer,"Athletics Women's 1,500 metres",2
Algeria,Boxing,Summer,Boxing Men's Featherweight,1
Algeria,Boxing,Summer,Boxing Men's Light-Heavyweight,1
Algeria,Boxing,Summer,Boxing Men's Light-Welterweight,1
Algeria,Boxing,Summer,Boxing Men's Lightweight,1
Algeria,Boxing,Summer,Boxing Men's Middleweight,2
Algeria,Judo,Summer,Judo Men's Middleweight,1
Algeria,Judo,Summer,Judo Women's Half-Lightweight,1
Argentina,Athletics,Summer,Athletics Men's Marathon,3
Argentina,Athletics,Summer,Athletics Men's Triple Jump,1
Argentina,Athletics,Summer,Athletics Women's Long Jump,1
Argentina,Basketball,Summer,Basketball Men's Basketball,24
Argentina,Boxing,Summer,Boxing Men's Featherweight,5
Argentina,Boxing,Summer,Boxing Men's Flyweight,1
Argentina,Boxing,Summer,Boxing Men's Heavyweight,5
Argentina,Boxing,Summer,Boxing Men's Light-Heavyweight,4
Argentina,Boxing,Summer,Boxing Men's Light-Middleweight,1
Argentina,Boxing,Summer,Boxing Men's Lightweight,2
Argentina,Boxing,Summer,Boxing Men's Middleweight,3
Argentina,Boxing,Summer,Boxing Men's Welterweight,3
Argentina,Cycling,Summer,Cycling Men's Madison,2
Argentina,Equestrianism,Summer,"Equestrianism Mixed Three-Day Event, Individual",1
Argentina,Fencing,Summer,"Fencing Men's Foil, Team",5
Argentina,Football,Summer,Football Men's Football,68
Argentina,Hockey,Summer,Hockey Men's Hockey,18
Argentina,Hockey,Summer,Hockey Women's Hockey,63
Argentina,Judo,Summer,Judo Women's Extra-Lightweight,2
Argentina,Polo,Summer,Polo Men's Polo,9
Argentina,Rowing,Summer,Rowing Men's Coxless Pairs,2
Argentina,Rowing,Summer,Rowing Men's Double Sculls,2
Argentina,Rowing,Summer,Rowing Men's Single Sculls,2
Argentina,Sailing,Summer,Sailing Men's Two Person Dinghy,4
Argentina,Sailing,Summer,Sailing Men's Windsurfer,2
Argentina,Sailing,Summer,Sailing Mixed 6 metres,5
Argentina,Sailing,Summer,Sailing Mixed Multihull,6
Argentina,Sailing,Summer,Sailing Mixed Three Person Keelboat,3
Argentina,Sailing,Summer,Sailing Women's One Person Dinghy,1
Argentina,Shooting,Summer,"Shooting Men's Rapid-Fire Pistol, 25 metres",1
Argentina,Swimming,Summer,Swimming Men's 400 metres Freestyle,1
Argentina,Swimming,Summer,Swimming Women's 100 metres Freestyle,1
Argentina,Swimming,Summer,Swimming Women's 400 metres Individual Medley,1
Argentina,Taekwondo,Summer,Taekwondo Men's Welterweight,1
Argentina,Tennis,Summer,Tennis Men's Doubles,2
Argentina,Tennis,Summer,Tennis Men's Singles,2
Argentina,Tennis,Summer,Tennis Women's Doubles,2
Argentina,Tennis,Summer,Tennis Women's Singles,1
Argentina,Volleyball,Summer,Volleyball Men's Volleyball,12
Argentina,Weightlifting,Summer,Weightlifting Men's Heavyweight,2
